moeda,moeda_destino,valor_compra,valor_venda,maxima_dia,minima_dia,data_cotacao,arquivo_origem
USD,BRL,5.08059,5.0819,5.11219,5.07397,2026-08-07 17:59:54,cotacoes_20260809T153246Z.json
EUR,BRL,5.8713,5.87475,5.8713,5.8713,2026-08-09 11:14:16,cotacoes_20260809T153246Z.json
USD,BRL,5.08059,5.0819,5.11219,5.07397,2026-08-07 17:59:54,cotacoes_20260809T153531Z.json
EUR,BRL,5.8713,5.87475,5.8713,5.8713,2026-08-09 11:14:16,cotacoes_20260809T153531Z.json
USD,BRL,5.08059,5.0819,5.11219,5.07397,2026-08-07 17:59:54,cotacoes_20260809T153714Z.json
EUR,BRL,5.8713,5.87475,5.8713,5.8713,2026-08-09 11:14:16,cotacoes_20260809T153714Z.json
USD,BRL,5.08059,5.0819,5.0808,5.08059,2026-08-07 17:59:54,cotacoes_20260809T201923Z.json
EUR,BRL,5.8713,5.87475,5.8713,5.8713,2026-08-09 12:55:16,cotacoes_20260809T201923Z.json
USD,BRL,5.08059,5.0819,5.0808,5.08059,2026-08-07 17:59:54,cotacoes_20260809T202532Z.json
EUR,BRL,5.8713,5.87475,5.8713,5.8713,2026-08-09 12:55:16,cotacoes_20260809T202532Z.json
